,Score,Localization,Dataset_Name,Type
BAZ1B,0.48721418,Nucleus,Lung_Tumor_PD,Proteome
BAZ2A,0.40224716,Nucleus,Lung_Tumor_PD,Proteome
BAZ2B,0.2626594,Nucleus,Lung_Tumor_PD,Proteome
BCAP29,0.16175269,Secretory,Lung_Tumor_PD,Proteome
BCAP31,-0.19816782,Secretory,Lung_Tumor_PD,Proteome
BCAR1,-0.10975043,Cytosol,Lung_Tumor_PD,Proteome
BCAS3,-0.10488369,Cytosol,Lung_Tumor_PD,Proteome
BCL10,-0.1542208,Cytosol,Lung_Tumor_PD,Proteome
BCL2L1,-0.42927095,Mitochondria,Lung_Tumor_PD,Proteome
BCL2L11,-0.68482256,Secretory,Lung_Tumor_PD,Proteome
BCL2L13,0.28715104,Mitochondria,Lung_Tumor_PD,Proteome
BCL9L,-0.52524936,Nucleus,Lung_Tumor_PD,Proteome
BCOR,0.5139046,Nucleus,Lung_Tumor_PD,Proteome
BCS1L,0.05902175,Mitochondria,Lung_Tumor_PD,Proteome
BDH1,0.40576264,Mitochondria,Lung_Tumor_PD,Proteome
BDH2,-0.071084596,Cytosol,Lung_Tumor_PD,Proteome
BEND3,0.5113538,Nucleus,Lung_Tumor_PD,Proteome
BET1,0.23095642,Secretory,Lung_Tumor_PD,Proteome
BET1L,0.20549056,Secretory,Lung_Tumor_PD,Proteome
BID,-0.2553977,Cytosol,Lung_Tumor_PD,Proteome
BIN1,-0.10142794,Cytosol,Lung_Tumor_PD,Proteome
BIN3,-0.13858618,Cytosol,Lung_Tumor_PD,Proteome
BIRC2,-0.104481116,Cytosol,Lung_Tumor_PD,Proteome
BIRC6,-0.53718734,Cytosol,Lung_Tumor_PD,Proteome
BLM,0.46817243,Nucleus,Lung_Tumor_PD,Proteome
BLVRB,-0.20402151,Cytosol,Lung_Tumor_PD,Proteome
BLZF1,0.21595334,Secretory,Lung_Tumor_PD,Proteome
BMP2K,0.07855966,Secretory,Lung_Tumor_PD,Proteome
BMPR2,0.08976834,Secretory,Lung_Tumor_PD,Proteome
BMS1,0.2674147,Nucleus,Lung_Tumor_PD,Proteome
BNIP1,0.23301698,Secretory,Lung_Tumor_PD,Proteome
BNIP3,-0.43773392,Mitochondria,Lung_Tumor_PD,Proteome
BPNT1,-0.15565753,Cytosol,Lung_Tumor_PD,Proteome
BRAF,-0.3090699,Cytosol,Lung_Tumor_PD,Proteome
BRCC3,-0.064935915,Cytosol,Lung_Tumor_PD,Proteome
BRD1,0.28652596,Nucleus,Lung_Tumor_PD,Proteome
BRD2,0.5140515,Nucleus,Lung_Tumor_PD,Proteome
BRD4,0.5189062,Nucleus,Lung_Tumor_PD,Proteome
BRIX1,0.34119186,Nucleus,Lung_Tumor_PD,Proteome
BROX,-0.4477521,Cytosol,Lung_Tumor_PD,Proteome
BRPF1,0.5299482,Nucleus,Lung_Tumor_PD,Proteome
BRPF3,-0.17437549,Nucleus,Lung_Tumor_PD,Proteome
BRWD1,0.4881951,Nucleus,Lung_Tumor_PD,Proteome
BSG,0.00013120886,Secretory,Lung_Tumor_PD,Proteome
BTF3,-0.5310249,Cytosol,Lung_Tumor_PD,Proteome
BTF3L4,-0.5114219,Cytosol,Lung_Tumor_PD,Proteome
BTN2A1,0.17485654,Secretory,Lung_Tumor_PD,Proteome
BUB1B,-0.63183737,Cytosol,Lung_Tumor_PD,Proteome
C11orf68,-0.05141551,Cytosol,Lung_Tumor_PD,Proteome
C12orf57,-0.045182254,Cytosol,Lung_Tumor_PD,Proteome
C14orf119,-0.17120692,Cytosol,Lung_Tumor_PD,Proteome
C18orf21,0.49147928,Nucleus,Lung_Tumor_PD,Proteome
C18orf32,0.23809156,Secretory,Lung_Tumor_PD,Proteome
C1GALT1,0.18494391,Secretory,Lung_Tumor_PD,Proteome
C1QBP,0.21525328,Mitochondria,Lung_Tumor_PD,Proteome
C1orf131,0.31200996,Nucleus,Lung_Tumor_PD,Proteome
C1orf198,-0.026350219,Cytosol,Lung_Tumor_PD,Proteome
C1orf50,-0.14814787,Cytosol,Lung_Tumor_PD,Proteome
C2CD2,0.15507658,Secretory,Lung_Tumor_PD,Proteome
C2CD2L,0.17333154,Secretory,Lung_Tumor_PD,Proteome
C2orf42,0.40882292,Nucleus,Lung_Tumor_PD,Proteome
C2orf49,0.4635621,Nucleus,Lung_Tumor_PD,Proteome
C2orf69,-0.56624454,Cytosol,Lung_Tumor_PD,Proteome
C4orf3,-0.24935707,Secretory,Lung_Tumor_PD,Proteome
C5orf24,0.5268364,Nucleus,Lung_Tumor_PD,Proteome
C6orf47,0.19192483,Secretory,Lung_Tumor_PD,Proteome
C6orf89,-0.2134545,Secretory,Lung_Tumor_PD,Proteome
CABIN1,0.4740924,Nucleus,Lung_Tumor_PD,Proteome
CACYBP,-0.57919985,Cytosol,Lung_Tumor_PD,Proteome
CAD,-0.60053706,Cytosol,Lung_Tumor_PD,Proteome
CADM4,-0.03305268,Secretory,Lung_Tumor_PD,Proteome
CALCOCO1,-0.10266291,Cytosol,Lung_Tumor_PD,Proteome
CALR,-0.5632823,Nucleus,Lung_Tumor_PD,Proteome
CALU,-0.4834741,Nucleus,Lung_Tumor_PD,Proteome
CAMK2D,-0.106973134,Cytosol,Lung_Tumor_PD,Proteome
CAMK2G,-0.15509582,Cytosol,Lung_Tumor_PD,Proteome
CAMLG,-0.035195027,Secretory,Lung_Tumor_PD,Proteome
CANT1,0.23663814,Secretory,Lung_Tumor_PD,Proteome
CANX,0.24042447,Secretory,Lung_Tumor_PD,Proteome
CAPN1,-0.17237878,Cytosol,Lung_Tumor_PD,Proteome
CAPN2,-0.08485721,Cytosol,Lung_Tumor_PD,Proteome
CAPN5,0.13834944,Secretory,Lung_Tumor_PD,Proteome
CAPNS1,-0.14362001,Cytosol,Lung_Tumor_PD,Proteome
CAPS,-0.14474998,Cytosol,Lung_Tumor_PD,Proteome
CASK,0.24920148,Mitochondria,Lung_Tumor_PD,Proteome
CASP7,-0.20539877,Cytosol,Lung_Tumor_PD,Proteome
CAST,-0.12721117,Cytosol,Lung_Tumor_PD,Proteome
CAV1,0.07425163,Secretory,Lung_Tumor_PD,Proteome
CAV2,0.05838482,Secretory,Lung_Tumor_PD,Proteome
CBFB,-0.16411598,Cytosol,Lung_Tumor_PD,Proteome
CBL,-0.10953144,Cytosol,Lung_Tumor_PD,Proteome
CBR1,-0.56333625,Cytosol,Lung_Tumor_PD,Proteome
CBX3,0.5287947,Nucleus,Lung_Tumor_PD,Proteome
CBX5,0.5164953,Nucleus,Lung_Tumor_PD,Proteome
CBX8,0.5016933,Nucleus,Lung_Tumor_PD,Proteome
CC2D1B,-0.10900701,Cytosol,Lung_Tumor_PD,Proteome
CCAR1,0.50083184,Nucleus,Lung_Tumor_PD,Proteome
CCAR2,0.45649937,Nucleus,Lung_Tumor_PD,Proteome
CCDC115,-0.56255925,Secretory,Lung_Tumor_PD,Proteome
CCDC117,0.3219303,Nucleus,Lung_Tumor_PD,Proteome
CCDC127,0.01936598,Mitochondria,Lung_Tumor_PD,Proteome
CCDC134,-0.32756165,Secretory,Lung_Tumor_PD,Proteome
CCDC22,-0.08945543,Cytosol,Lung_Tumor_PD,Proteome
CCDC25,-0.19733967,Cytosol,Lung_Tumor_PD,Proteome
CCDC43,-0.5939897,Cytosol,Lung_Tumor_PD,Proteome
CCDC47,0.2466269,Secretory,Lung_Tumor_PD,Proteome
