,Score,Localization,Dataset_Name,Type
C11orf68,-0.08457199,Cytosol,Glioma_Tumor_PD,Proteome
C12orf57,-0.43627205,Cytosol,Glioma_Tumor_PD,Proteome
C18orf32,-0.20842281,Secretory,Glioma_Tumor_PD,Proteome
C1GALT1,0.05208688,Secretory,Glioma_Tumor_PD,Proteome
C1QBP,0.48731828,Mitochondria,Glioma_Tumor_PD,Proteome
C1orf198,-0.21038806,Cytosol,Glioma_Tumor_PD,Proteome
C1orf226,-0.1932108,Mitochondria,Glioma_Tumor_PD,Proteome
C1orf50,-0.08214882,Cytosol,Glioma_Tumor_PD,Proteome
C2CD2,0.08876919,Secretory,Glioma_Tumor_PD,Proteome
C2CD2L,-0.47314063,Secretory,Glioma_Tumor_PD,Proteome
C2orf49,0.62044173,Nucleus,Glioma_Tumor_PD,Proteome
C2orf69,-0.44899374,Cytosol,Glioma_Tumor_PD,Proteome
C4orf3,0.05858739,Secretory,Glioma_Tumor_PD,Proteome
C5orf24,0.6353601,Nucleus,Glioma_Tumor_PD,Proteome
C6orf47,-0.03454451,Secretory,Glioma_Tumor_PD,Proteome
C6orf89,-0.6156824,Secretory,Glioma_Tumor_PD,Proteome
CABIN1,0.6054271,Nucleus,Glioma_Tumor_PD,Proteome
CACYBP,0.09714559,Cytosol,Glioma_Tumor_PD,Proteome
CAD,-0.10652225,Cytosol,Glioma_Tumor_PD,Proteome
CADM4,-0.40089944,Secretory,Glioma_Tumor_PD,Proteome
CALCOCO1,-0.46568823,Cytosol,Glioma_Tumor_PD,Proteome
CALR,-0.15255831,Nucleus,Glioma_Tumor_PD,Proteome
CALU,-0.17262615,Nucleus,Glioma_Tumor_PD,Proteome
CAMK2D,-0.022186961,Cytosol,Glioma_Tumor_PD,Proteome
CAMK2G,-0.5412935,Cytosol,Glioma_Tumor_PD,Proteome
CAMLG,-0.18926215,Secretory,Glioma_Tumor_PD,Proteome
CANT1,-0.010776636,Secretory,Glioma_Tumor_PD,Proteome
CANX,0.045898248,Secretory,Glioma_Tumor_PD,Proteome
CAPN1,-0.0655017,Cytosol,Glioma_Tumor_PD,Proteome
CAPN2,-0.053800493,Cytosol,Glioma_Tumor_PD,Proteome
CAPN5,-0.05532654,Secretory,Glioma_Tumor_PD,Proteome
CAPNS1,-0.061603844,Cytosol,Glioma_Tumor_PD,Proteome
CAPS,-0.06962843,Cytosol,Glioma_Tumor_PD,Proteome
CASK,0.20978266,Mitochondria,Glioma_Tumor_PD,Proteome
CASP7,-0.06878159,Cytosol,Glioma_Tumor_PD,Proteome
CAST,-0.082352035,Cytosol,Glioma_Tumor_PD,Proteome
CAV1,0.069467865,Secretory,Glioma_Tumor_PD,Proteome
CBFB,-0.036678087,Cytosol,Glioma_Tumor_PD,Proteome
CBL,-0.023008738,Cytosol,Glioma_Tumor_PD,Proteome
