,Score,Localization,Dataset_Name,Type
CCT3,0.17172964,Cytosol,Mertins_Breast_PD,Proteome
CCT4,0.13472235,Cytosol,Mertins_Breast_PD,Proteome
CCT5,0.099107735,Cytosol,Mertins_Breast_PD,Proteome
CCT6A,0.18155617,Cytosol,Mertins_Breast_PD,Proteome
CCT7,0.12401428,Cytosol,Mertins_Breast_PD,Proteome
CCT8,0.1502794,Cytosol,Mertins_Breast_PD,Proteome
CD109,-0.42660964,Secretory,Mertins_Breast_PD,Proteome
CD276,0.24171454,Secretory,Mertins_Breast_PD,Proteome
CD2AP,-0.30966216,Cytosol,Mertins_Breast_PD,Proteome
CD44,0.23060802,Secretory,Mertins_Breast_PD,Proteome
CD46,0.16510423,Secretory,Mertins_Breast_PD,Proteome
CD47,0.24108332,Secretory,Mertins_Breast_PD,Proteome
CD55,0.1375265,Secretory,Mertins_Breast_PD,Proteome
CD63,0.21668603,Secretory,Mertins_Breast_PD,Proteome
CD81,0.19294116,Secretory,Mertins_Breast_PD,Proteome
CD99,-0.031449325,Secretory,Mertins_Breast_PD,Proteome
CDC123,-0.12897395,Cytosol,Mertins_Breast_PD,Proteome
CDC37,0.32293695,Cytosol,Mertins_Breast_PD,Proteome
CDC40,0.38193884,Nucleus,Mertins_Breast_PD,Proteome
CDC42,-0.5108105,Cytosol,Mertins_Breast_PD,Proteome
CDC42EP4,0.0786347,Cytosol,Mertins_Breast_PD,Proteome
CDC5L,0.37333962,Nucleus,Mertins_Breast_PD,Proteome
CDC73,0.43413436,Nucleus,Mertins_Breast_PD,Proteome
CDK1,-0.27740738,Cytosol,Mertins_Breast_PD,Proteome
CDK13,0.22408287,Nucleus,Mertins_Breast_PD,Proteome
CDK17,-0.23002225,Secretory,Mertins_Breast_PD,Proteome
CDK5,-0.15250632,Cytosol,Mertins_Breast_PD,Proteome
CDK5RAP3,-0.16663295,Secretory,Mertins_Breast_PD,Proteome
CDK6,0.32231924,Cytosol,Mertins_Breast_PD,Proteome
CDK9,0.045677874,Nucleus,Mertins_Breast_PD,Proteome
CDKAL1,-0.5721011,Secretory,Mertins_Breast_PD,Proteome
CDKN2AIPNL,-0.33927974,Nucleus,Mertins_Breast_PD,Proteome
CDR2L,-0.4040847,Cytosol,Mertins_Breast_PD,Proteome
CDV3,-0.43557355,Cytosol,Mertins_Breast_PD,Proteome
CEBPB,-0.011373684,Nucleus,Mertins_Breast_PD,Proteome
CEBPZ,0.46370614,Nucleus,Mertins_Breast_PD,Proteome
CELF1,0.2898246,Nucleus,Mertins_Breast_PD,Proteome
CENPB,0.0012346576,Nucleus,Mertins_Breast_PD,Proteome
CEP128,-0.22677578,Mitochondria,Mertins_Breast_PD,Proteome
CEP192,-0.46490598,Cytosol,Mertins_Breast_PD,Proteome
CEP44,0.08106927,Cytosol,Mertins_Breast_PD,Proteome
CEP85,-0.33340314,Cytosol,Mertins_Breast_PD,Proteome
CERS2,0.16107507,Secretory,Mertins_Breast_PD,Proteome
CFL1,0.28511828,Cytosol,Mertins_Breast_PD,Proteome
CHAF1A,0.17276752,Nucleus,Mertins_Breast_PD,Proteome
CHCHD3,0.12278091,Mitochondria,Mertins_Breast_PD,Proteome
CHCHD6,-0.06604697,Mitochondria,Mertins_Breast_PD,Proteome
CHD1,-0.05077179,Nucleus,Mertins_Breast_PD,Proteome
CHD2,0.3538334,Nucleus,Mertins_Breast_PD,Proteome
CHD3,0.0561083,Nucleus,Mertins_Breast_PD,Proteome
CHD4,0.46412548,Nucleus,Mertins_Breast_PD,Proteome
CHDH,0.053100742,Mitochondria,Mertins_Breast_PD,Proteome
CHERP,0.40548474,Nucleus,Mertins_Breast_PD,Proteome
CHKA,-0.069462866,Cytosol,Mertins_Breast_PD,Proteome
CHM,0.29147735,Cytosol,Mertins_Breast_PD,Proteome
CHMP2A,-0.41506505,Cytosol,Mertins_Breast_PD,Proteome
CHMP4B,-0.42723462,Cytosol,Mertins_Breast_PD,Proteome
CHMP5,-0.48584637,Cytosol,Mertins_Breast_PD,Proteome
CHMP6,-0.0742858,Secretory,Mertins_Breast_PD,Proteome
CHORDC1,0.0010661671,Cytosol,Mertins_Breast_PD,Proteome
CHTOP,0.39584965,Nucleus,Mertins_Breast_PD,Proteome
CIAO1,0.18090309,Cytosol,Mertins_Breast_PD,Proteome
CIAPIN1,-0.5616464,Cytosol,Mertins_Breast_PD,Proteome
CIB1,-0.19922057,Secretory,Mertins_Breast_PD,Proteome
CIC,-0.3969884,Nucleus,Mertins_Breast_PD,Proteome
CISD1,0.16434386,Mitochondria,Mertins_Breast_PD,Proteome
CISD2,0.24118914,Secretory,Mertins_Breast_PD,Proteome
CKAP4,0.25860876,Secretory,Mertins_Breast_PD,Proteome
CKB,0.29267296,Cytosol,Mertins_Breast_PD,Proteome
CLCC1,0.19334786,Secretory,Mertins_Breast_PD,Proteome
CLCN7,0.16017832,Secretory,Mertins_Breast_PD,Proteome
CLIC1,0.3325043,Cytosol,Mertins_Breast_PD,Proteome
CLIC4,0.3259145,Cytosol,Mertins_Breast_PD,Proteome
CLIP1,-0.41200405,Cytosol,Mertins_Breast_PD,Proteome
CLPB,0.016481813,Mitochondria,Mertins_Breast_PD,Proteome
CLUH,-0.39495525,Cytosol,Mertins_Breast_PD,Proteome
CMAS,-0.41028893,Nucleus,Mertins_Breast_PD,Proteome
CMBL,-0.072755,Cytosol,Mertins_Breast_PD,Proteome
CMC2,-0.32925335,Mitochondria,Mertins_Breast_PD,Proteome
CMPK1,0.20412423,Cytosol,Mertins_Breast_PD,Proteome
CMSS1,0.46043363,Nucleus,Mertins_Breast_PD,Proteome
CMTR2,-0.42726538,Cytosol,Mertins_Breast_PD,Proteome
CNDP2,0.23809838,Cytosol,Mertins_Breast_PD,Proteome
CNN2,0.31349692,Cytosol,Mertins_Breast_PD,Proteome
CNNM3,0.08210482,Secretory,Mertins_Breast_PD,Proteome
CNNM4,0.115166105,Secretory,Mertins_Breast_PD,Proteome
CNOT4,0.11464858,Cytosol,Mertins_Breast_PD,Proteome
CNP,0.007964235,Secretory,Mertins_Breast_PD,Proteome
CNPY3,-0.30063933,Nucleus,Mertins_Breast_PD,Proteome
CNTRL,-0.4847062,Cytosol,Mertins_Breast_PD,Proteome
COA3,-0.09648194,Mitochondria,Mertins_Breast_PD,Proteome
COA7,0.4036649,Nucleus,Mertins_Breast_PD,Proteome
COASY,0.06436396,Cytosol,Mertins_Breast_PD,Proteome
COG4,-0.3401204,Cytosol,Mertins_Breast_PD,Proteome
COMMD4,0.31396988,Cytosol,Mertins_Breast_PD,Proteome
COMMD6,0.31665462,Cytosol,Mertins_Breast_PD,Proteome
COMTD1,0.16852175,Mitochondria,Mertins_Breast_PD,Proteome
COPA,-0.30818534,Cytosol,Mertins_Breast_PD,Proteome
COPB2,-0.29955006,Cytosol,Mertins_Breast_PD,Proteome
COPG1,-0.2653149,Cytosol,Mertins_Breast_PD,Proteome
COPS4,0.18168287,Cytosol,Mertins_Breast_PD,Proteome
COPS7A,0.20541672,Cytosol,Mertins_Breast_PD,Proteome
COPZ1,-0.059849802,Cytosol,Mertins_Breast_PD,Proteome
COQ3,-0.36606005,Secretory,Mertins_Breast_PD,Proteome
COQ7,-0.35146594,Secretory,Mertins_Breast_PD,Proteome
COQ9,-0.47487053,Mitochondria,Mertins_Breast_PD,Proteome
COX17,0.08759803,Nucleus,Mertins_Breast_PD,Proteome
COX20,-0.22353831,Mitochondria,Mertins_Breast_PD,Proteome
COX4I1,-0.17708121,Mitochondria,Mertins_Breast_PD,Proteome
COX5B,0.102817275,Mitochondria,Mertins_Breast_PD,Proteome
COX6B1,0.011142207,Mitochondria,Mertins_Breast_PD,Proteome
COX6C,0.17464507,Mitochondria,Mertins_Breast_PD,Proteome
COX7A2,-0.0039893845,Mitochondria,Mertins_Breast_PD,Proteome
COX7A2L,0.13352638,Mitochondria,Mertins_Breast_PD,Proteome
COX7C,-0.17012976,Mitochondria,Mertins_Breast_PD,Proteome
CPD,0.19794008,Secretory,Mertins_Breast_PD,Proteome
CPNE3,-0.104590565,Cytosol,Mertins_Breast_PD,Proteome
