gene_name,C3L-02168-Tumor,C3N-04162-Tumor,C3L-01663-Tumor,C3N-02300-Tumor,C3L-00568-Tumor,C3L-02627-Tumor,C3L-00965-Tumor,C3N-03424-Tumor,C3L-02625-Tumor,C3L-02619-Tumor,C3N-02289-Tumor,C3L-01884-Tumor,C3N-01025-Tumor,C3L-02963-Tumor,C3L-02546-Tumor,C3L-02552-Tumor,C3N-02288-Tumor,C3N-03425-Tumor,C3N-01020-Tumor,C3N-01194-Tumor,C3L-02964-Tumor,C3N-02675-Tumor,C3N-02339-Tumor,C3L-03272-Tumor,C3N-03875-Tumor,C3N-03848-Tumor,C3L-02650-Tumor,C3N-03486-Tumor,C3L-00904-Tumor,C3L-02646-Tumor,C3N-02375-Tumor,C3N-00211-Tumor,C3N-02374-Tumor,C3N-03877-Tumor,C3L-01606-Tumor,C3L-01000-Tumor,C3L-04391-Tumor,C3L-00445-Tumor,C3L-02130-Tumor,C3N-03441-Tumor,C3N-02575-Tumor,C3N-03092-Tumor,C3N-03051-Tumor,C3N-03093-Tumor,C3L-02127-Tumor,C3L-02669-Tumor,C3L-00081-Tumor,C3L-03963-Tumor,C3N-02425-Tumor,C3N-01892-Tumor,C3N-01893-Tumor,C3N-00555-Tumor,C3N-03882-Tumor,C3L-03962-Tumor,C3L-02665-Tumor,C3L-00927-Tumor,C3L-04014-Tumor,C3N-03880-Tumor,C3N-01846-Tumor,C3N-03076-Tumor,C3N-02426-Tumor,C3L-01838-Tumor,C3L-03961-Tumor,C3L-03965-Tumor,C3N-03072-Tumor,C3N-00221-Tumor,C3N-04127-Tumor,C3L-00923-Tumor,C3L-02649-Tumor,C3L-02891-Tumor,C3N-03851-Tumor,C3N-03886-Tumor,C3N-03662-Tumor,C3N-02434-Tumor,C3N-02435-Tumor,C3L-04013-Tumor,C3N-04124-Tumor,C3L-02660-Tumor,C3L-02648-Tumor,C3N-02283-Tumor,C3L-02968-Tumor,C3L-01285-Tumor,C3L-00603-Tumor,C3L-02969-Tumor,C3L-00415-Tumor,C3L-01455-Tumor,C3L-00993-Tumor,C3N-00497-Tumor,C3L-03678-Tumor,C3N-00247-Tumor,C3L-02349-Tumor,C3N-04155-Tumor,C3L-02163-Tumor,C3L-02629-Tumor,C3N-02285-Tumor,C3N-02252-Tumor,C3N-01411-Tumor,C3N-01028-Tumor,C3L-02358-Tumor,C3N-02284-Tumor,C3L-02170-Tumor,C3L-02164-Tumor,C3N-02523-Tumor,C3L-04071-Tumor,C3N-02494-Tumor,C3L-02951-Tumor,C3N-03204-Tumor,C3N-01017-Tumor
TMEM52B,1.2845,0.5273,1.8637,0.8347,1.2996,0.8258,1.2665,2.2621,1.5214,1.0559,8.0049,0.9955,0.6568,0.764,0.8079,0.9456,0.89,1.2225,7.8219,0.4004,0.9739,29.8389,5.2331,0.6591,0.9541,3.0895,0.9134,0.7447,67.9152,1.1281,0.2218,1.1846,0.5684,0.3917,1.7363,1.7851,1.6297,0.9057,1.1986,0.9295,0.3536,3.0989,1.358,0.6749,0.7938,2.1565,1.0533,2.1068,0.2899,1.3434,18.8016,1.3119,0.9249,0.5074,2.5925,0.3285,2.2489,0.5458,21.7222,2.5502,1.8957,2.1825,3.2967,1.6093,0.4075,0.4273,4.3441,1.0289,0.3755,2.8336,25.6219,0.4466,0.3638,0.1837,3.5336,0.3236,1.2235,2.2715,0.5297,0.3431,0.8362,0.3861,2.1443,0.9694,0.3002,4.4066,0.5053,1.3411,0.2257,2.5595,1.6147,0.439,0.3896,2.0199,2.3462,1.3453,0.5155,1.2895,0.7276,0.5597,3.8439,1.7418,1.2402,14.3906,0.5538,1.2054,0.6615,0.81
TMEM53,2.7368,4.9596,6.3269,3.3248,3.6453,6.079,2.2336,4.8549,2.0343,2.0986,4.9218,6.8956,2.2957,1.5818,2.6518,3.0045,3.3985,4.0864,3.5075,2.9352,4.1033,4.6566,3.4182,5.3404,2.7711,2.9832,3.2249,5.3414,4.2965,2.9567,4.1682,4.0624,2.6875,3.9554,4.4656,4.9224,3.3387,4.1333,3.6717,4.2563,7.0205,6.2388,4.7573,3.3771,3.3379,2.436,2.1359,3.4728,4.3172,5.1079,4.1542,3.244,2.3118,3.0707,5.7526,6.1349,5.0334,2.2155,5.94,3.7281,4.4257,2.8677,4.2637,4.0117,1.8148,2.5287,2.6666,3.1575,3.8831,3.8222,5.6181,6.8552,2.3171,2.5923,3.949,7.2141,2.1229,3.4556,5.4386,5.3599,3.389,2.486,5.3852,4.3567,4.4126,3.4944,4.8423,2.4819,5.1133,3.5466,8.1242,3.1781,7.755,4.5716,4.5271,2.5753,2.8202,4.308,6.2432,6.4706,3.0378,2.7884,3.219,3.4731,1.8027,3.7118,7.2337,4.2145
TMEM54,33.8869,49.2708,36.13,66.5745,32.8157,44.2663,41.7296,21.3952,17.056,48.2825,26.4282,56.7754,26.1363,15.0132,25.9935,17.6291,73.7749,46.2713,29.5005,29.8791,49.5805,23.706,40.4705,32.3972,19.0881,34.453,36.2948,52.517,38.7355,34.3049,41.8008,28.3292,57.5593,28.4854,39.9015,23.0188,32.9886,32.2178,32.2612,26.0633,66.8576,33.813,48.3708,24.8075,64.1746,30.8595,43.7253,18.9192,65.7149,36.8802,39.8762,41.6461,24.1222,87.9708,52.6161,34.8784,36.9159,20.9746,70.9567,15.9472,48.2912,34.3261,66.3462,27.687,26.3604,68.7228,25.5592,22.4187,30.2513,21.5045,33.7481,42.0609,36.9095,39.5851,31.1319,34.3996,35.3362,23.1819,39.3854,58.056,28.3581,31.17,54.4975,45.87,35.4849,20.9589,37.7898,12.5844,37.4388,10.8035,62.6466,41.6754,34.8877,27.8513,55.4103,28.3338,29.6713,36.174,50.9777,13.9643,30.5363,10.9133,41.3585,26.9501,24.0595,45.0211,62.1545,27.6471
TMEM59,34.3129,48.3905,79.5228,53.5138,55.3439,74.2933,33.4131,63.8023,35.9932,31.7067,50.2556,58.0134,27.9704,35.8023,46.5903,47.0607,45.1743,60.3213,29.6632,40.9068,44.96,53.8968,45.104,54.7306,51.4472,60.1228,57.8591,41.832,64.2684,35.5895,26.1502,53.254,31.9463,46.9792,48.0694,49.7298,55.629,46.7179,48.5477,54.9293,41.977,48.0068,53.8039,41.0233,33.1229,42.89,55.2517,48.131,48.6566,41.9263,39.4749,57.2772,51.7289,60.1797,42.2362,51.4362,51.7606,44.8331,60.1017,49.9848,44.3049,60.6745,57.1283,59.9102,35.4588,29.1743,54.3428,63.7363,47.0521,58.5155,32.1663,27.6472,39.4748,27.5017,57.1658,64.808,47.9242,57.9369,89.2946,58.8351,32.5349,32.5627,52.5986,48.1875,70.5385,60.4309,50.6047,36.2482,66.0537,44.418,63.8166,37.4261,44.4942,60.1133,58.3482,36.125,32.9795,34.8573,57.1684,70.9598,48.7304,39.6588,76.0791,57.8768,40.983,44.6133,90.2434,49.5838
TMEM59L,0.1084,0.2102,0.6975,0.1205,0.1693,0.1688,2.2028,0.5725,0.0951,0.6012,0.4802,0.2461,0.2123,0.5746,0.1789,0.8974,0.3638,0.1911,0.1925,0.0367,0.6794,0.0976,1.7301,0.0674,0.0679,0.4164,0.7323,0.1307,0.1092,0.2998,0.1607,0.2146,0.4925,0.8006,0.3524,0.2201,0.0281,1.4567,0.2197,0.2268,0.8455,0.141,1.2853,0.064,0.4834,0.2697,0.1627,0.7245,0.0514,0.5328,0.2309,0.3943,0.0251,3.6484,0.6585,0.0273,0.0879,0.0259,0.0,0.0538,0.4353,0.3147,0.2628,0.433,0.0984,0.8402,0.6258,0.0258,0.1663,0.0774,0.3965,0.1978,0.4351,0.5371,0.2201,0.3583,0.3048,0.3971,0.2533,4.0014,0.3535,0.5497,2.0631,0.308,0.0,0.2738,0.042,0.6731,0.3373,0.2186,0.2029,0.1296,0.2452,1.0735,0.2545,0.44,0.0,0.7583,0.1172,0.0,1.0509,0.3926,0.2024,1.8508,0.0712,0.728,0.2268,0.1484
TMEM60,52.9677,48.6672,48.4556,34.6524,35.3814,18.5335,46.6288,32.3548,22.7157,19.0829,28.1079,42.9197,22.527,9.0033,26.9455,17.5203,39.7638,24.1261,34.4933,22.9575,20.1483,28.0692,17.5936,18.457,38.1618,26.2748,27.943,20.7942,28.6763,64.7404,41.871,34.133,21.6281,45.3058,31.7555,30.1639,31.9131,37.169,21.7053,36.9795,31.3195,61.7258,42.7777,26.0823,28.2908,35.6292,67.6276,24.2575,43.0555,29.1162,33.7355,21.8084,44.0817,52.4852,26.6189,64.5215,49.2082,29.0038,85.6609,41.3874,28.864,26.9233,39.609,50.4078,43.4757,33.7941,35.6056,32.361,44.1479,31.3483,56.9025,21.3206,43.8585,26.5339,27.8962,34.1209,35.8992,40.0718,31.4389,67.8689,32.5875,105.8818,46.4781,41.6681,24.0485,23.3327,25.0641,28.0394,27.2715,32.9476,52.7804,39.3928,35.8937,42.8306,22.2868,32.6059,64.434,28.7613,42.0166,43.1956,19.5718,16.1481,34.3643,38.7444,21.107,23.7284,61.2059,71.3394
TMEM61,0.0566,0.2929,0.8021,0.0504,0.0,0.5882,0.1279,0.0997,0.1989,0.5866,0.502,0.7717,0.1479,0.0801,0.187,0.1126,0.4437,0.0,0.115,0.0383,0.0676,0.6125,0.6142,0.0,0.284,0.0622,0.525,0.0,0.3045,1.2535,0.7841,0.6482,0.5492,1.5901,0.201,1.7892,0.0,0.4634,0.421,0.3162,0.5238,0.7665,0.3101,0.5356,0.8269,0.5638,0.3402,0.2066,0.1074,0.2785,0.3379,0.1735,0.1573,0.5804,0.1059,0.3422,1.9599,0.1083,0.9063,0.2811,0.13,0.423,0.1221,0.3395,0.0,0.3798,0.3392,0.5393,0.0,0.3235,0.9474,0.6203,0.0,0.7656,0.4601,0.0,0.2124,0.083,2.3541,1.5355,0.5279,0.0766,0.0,0.0585,0.0,0.5724,0.0439,0.0,0.3135,0.7618,1.0305,0.0,0.4557,1.9077,1.5961,0.7474,0.0597,0.1762,0.3062,0.2073,0.1318,0.0864,0.0,0.4146,0.1489,0.4349,1.4226,1.0087
TMEM62,14.4643,19.4979,15.052,9.7384,15.193,12.0801,13.5256,12.6042,8.7768,13.4619,8.4751,11.471,8.7169,5.9554,10.9483,7.7363,15.6519,15.542,13.9648,7.4392,12.136,19.9909,7.1162,18.6187,11.3606,13.3478,10.4197,9.8025,16.4813,15.5916,7.5001,10.4375,5.1047,29.2575,10.1937,17.1681,9.2425,10.0047,15.1217,17.934,5.4236,20.9867,14.3325,14.3882,7.246,20.0126,11.7584,12.0626,6.4075,11.7188,12.4422,7.4054,15.6115,26.1116,26.2618,24.1775,9.8386,9.3433,16.0489,16.5605,12.147,10.3481,14.1538,11.8605,6.9717,10.4288,11.5429,11.0464,12.421,17.4924,14.9652,18.7686,13.8017,13.0615,12.7451,17.8248,13.1175,14.8315,17.9425,7.6229,13.1612,9.2658,12.0494,15.8952,19.4676,9.5787,16.8778,12.8164,14.4132,16.558,15.512,17.8396,9.8586,20.1056,12.9358,19.6274,6.3165,13.9705,10.001,24.7689,8.8497,8.0487,14.6516,16.8243,9.7967,12.8204,14.7611,12.4639
TMEM63A,21.1213,21.2321,28.449,17.9723,16.3731,24.4844,12.1093,17.5085,19.0549,21.4173,19.4009,30.7643,29.4699,9.9807,10.3675,14.0715,27.7472,22.8348,29.0114,12.2302,28.7853,51.1856,42.3383,21.7841,11.9925,22.7996,15.2735,33.5392,25.8508,18.9196,18.7455,20.6692,20.6172,19.2049,18.5428,17.3269,11.1876,19.5638,14.3512,18.7302,16.5507,25.3215,12.9939,21.2069,36.2368,28.2402,12.303,23.178,18.2218,27.9227,20.953,16.5523,8.8386,24.2992,28.4994,24.3809,28.4515,12.6823,26.99,18.0123,25.7594,12.3248,14.0029,21.9401,16.771,28.7101,11.9916,14.9081,38.9272,25.5945,20.3498,25.932,28.1974,28.3178,40.3701,65.5705,18.6295,25.0175,21.5187,12.3884,20.9178,32.2706,16.4179,18.6268,20.3503,16.8853,14.0308,23.4124,45.1326,17.5026,25.679,24.2205,28.7345,35.979,25.5426,35.3308,24.3952,20.936,16.3519,10.5654,15.0696,14.9255,16.1215,19.6602,14.5548,17.1298,12.8901,23.3227
TMEM63B,59.3695,49.3082,51.0808,49.849,27.8885,47.2007,31.5735,26.8531,16.4277,38.6533,32.7407,40.8706,34.0659,31.0734,25.8526,32.0397,40.1061,53.0323,58.7203,24.644,53.256,74.8892,41.1844,50.413,30.858,42.0656,45.8693,38.1436,43.9546,35.2242,30.6822,22.7431,59.0175,49.9798,45.9192,31.3422,39.051,37.6035,25.648,45.2456,41.6297,49.4363,38.4013,37.3825,45.9776,67.7938,23.0984,44.1091,104.4561,39.8883,30.8822,40.0331,24.2602,67.1904,25.6418,53.4168,53.0052,36.903,36.2268,29.1083,42.72,43.168,42.8902,57.8706,44.7476,119.8719,35.4625,21.4913,47.4987,46.2148,37.2447,34.3621,36.6917,69.987,37.265,28.6236,25.6258,34.5485,27.7469,41.5555,37.223,30.401,47.6904,33.6147,26.3247,22.5219,23.4182,15.8727,90.5282,26.9991,58.1874,66.324,47.6789,23.5071,54.213,52.628,17.8005,40.9352,60.7775,41.2754,32.6408,22.8567,48.4472,36.6584,22.381,23.699,49.8007,50.8296
TMEM63C,1.8335,0.9107,2.5908,7.4228,1.0061,2.717,3.4091,3.8589,0.687,3.9039,0.5549,2.1326,5.1975,1.0038,3.4333,0.4815,4.5671,6.7688,0.2156,0.9311,6.1548,0.4567,1.0643,1.1677,6.5303,0.6261,0.8463,0.7165,1.2022,4.5466,0.4422,0.2461,7.7234,2.544,0.4364,0.2321,2.0658,6.3252,0.559,0.8321,2.5978,1.513,1.9483,0.4097,1.0338,1.5998,2.8608,0.2582,18.6823,2.4518,0.4478,8.0326,0.4037,2.9132,0.3449,0.5854,1.5716,0.3207,7.6027,0.9211,1.2576,0.9648,0.94,1.7648,1.4219,1.6494,0.4879,0.4152,1.933,0.6811,1.7065,3.1835,3.2718,3.9694,1.2715,0.2514,1.2999,0.3278,2.4977,1.7036,0.8441,1.4064,0.5406,0.416,3.5011,0.1825,5.342,0.1307,9.1572,0.4411,2.8716,5.7504,9.3546,5.6817,0.5907,0.8852,0.7067,0.3361,5.8394,5.4421,0.4684,0.307,2.0401,0.2251,1.244,0.1717,0.2925,1.2099
TMEM64,14.1184,11.5334,33.2172,17.1171,13.965,10.648,8.8005,11.4606,15.6073,13.5559,7.5396,17.6546,5.9294,5.5604,15.5268,8.6397,6.9446,16.5552,50.3043,7.7461,17.2654,8.8241,11.7555,11.5124,15.0488,13.4799,8.5462,5.9796,7.1189,17.853,5.0932,13.4958,13.8212,18.6233,13.2155,18.5405,13.7754,20.3569,8.6476,21.8289,14.2339,8.2633,12.528,10.3294,16.1993,10.9931,19.1012,12.8171,5.686,9.2007,7.8495,9.2549,13.7441,34.3997,5.5066,4.9419,14.9528,11.8064,15.6906,11.1639,13.3127,20.9066,14.5657,24.3369,20.367,20.2772,12.5783,17.447,4.6121,10.6014,7.1331,4.6896,22.5558,20.0397,19.9037,1.3306,13.2723,8.6161,7.9334,34.5208,11.0026,20.0977,13.0969,11.1355,15.1926,7.6127,21.5201,5.4646,10.5299,11.6814,9.5587,19.9032,13.2482,11.7416,9.5908,13.3965,32.455,12.7655,30.1422,13.7943,10.4083,7.6907,31.1153,11.8802,9.0251,7.3787,18.4029,17.3323
TMEM65,10.7545,16.7996,22.1128,9.9082,16.2478,23.8525,13.7209,12.4944,12.4223,19.6429,9.8314,39.4162,16.2357,7.8149,13.7367,8.7594,9.6911,13.3472,11.0747,7.97,18.1402,9.6939,9.7692,10.7664,10.4947,15.3905,13.3456,7.5741,13.7256,23.1153,5.7343,19.2681,13.1393,21.6306,17.7985,22.9482,21.1177,11.7426,17.6754,13.9716,14.9828,13.0573,43.4556,11.419,10.0076,19.5683,20.6434,8.7734,8.7898,8.3061,11.838,9.6379,19.4537,21.0378,12.6036,6.3781,11.127,8.9713,24.9926,27.3502,12.788,26.1509,17.1472,23.4891,27.4557,6.1158,16.8337,19.9849,7.9073,13.9871,14.4806,24.9802,18.7554,8.5838,21.9755,26.8264,18.469,10.5564,15.8089,20.8225,6.9768,5.787,12.5148,16.8732,15.0594,12.4342,12.6302,6.9959,10.4649,9.5795,8.8198,12.704,10.9663,14.0651,11.9801,11.4286,22.0295,11.1745,46.7328,11.0154,8.6433,5.2584,21.2799,20.6813,9.5812,9.6728,18.6514,14.0637
TMEM67,5.2596,7.9915,11.4139,7.7462,8.8004,4.1345,11.2833,4.8414,6.3685,4.5533,5.9306,8.7694,2.8127,2.5674,4.2336,3.8407,6.7931,7.2056,8.79,5.3968,8.5207,5.5617,7.7246,9.5395,5.1004,5.2418,8.6979,8.2184,8.8004,10.3412,5.9261,8.1499,7.7384,20.6198,12.0888,12.9724,5.3892,11.1904,4.0322,9.6443,7.2136,5.2801,6.6968,8.0116,12.833,5.8446,9.2987,7.9484,3.6279,5.4743,4.3373,6.3403,9.8178,16.535,5.4196,11.3213,8.7205,5.4605,7.968,7.599,6.2625,8.6652,7.5442,16.1821,11.2598,6.0812,6.1927,8.8878,6.5757,6.9947,5.276,19.1232,9.903,4.1866,14.9585,23.0713,5.3181,6.848,11.1078,24.928,7.6679,38.0869,14.9009,5.0486,17.7248,5.7392,11.6717,8.1799,7.2889,4.3339,3.558,7.8719,9.9019,6.8827,8.2677,5.4774,8.2354,5.4796,19.8197,10.4675,6.078,2.2757,8.5237,9.1888,6.9384,2.7555,10.4648,8.8753
TMEM68,5.3847,9.6126,11.9636,7.4803,8.3269,7.5398,8.9767,4.5514,6.752,2.4061,4.5736,7.9229,5.7135,2.71,6.2137,4.7001,5.3766,9.6565,21.0764,5.674,10.3441,5.2636,8.808,7.4794,7.5018,6.605,6.2803,2.8588,9.3126,4.3382,6.777,7.3552,9.0803,17.6294,20.0089,8.642,6.6147,8.6609,3.9918,11.9804,5.4384,6.4951,9.5081,4.7374,7.1873,4.5116,13.5058,5.6886,7.6598,5.94,5.1053,6.2345,11.3684,22.4457,6.6246,11.2278,7.7159,10.5738,6.3391,12.7495,6.7809,11.3735,6.8866,10.1711,13.16,7.6993,9.1439,7.4023,5.2202,6.5709,7.9368,8.602,8.7057,8.2244,8.8073,8.6484,7.1158,6.811,13.6131,20.1901,6.4731,28.7758,10.0196,6.1144,12.2828,5.0312,8.3015,7.7856,7.2091,3.6156,4.8482,8.545,7.2677,5.5317,7.5013,4.809,12.9192,5.0322,18.0432,11.8884,4.2356,2.4301,12.2006,7.6831,5.67,4.5293,12.2518,10.2522
TMEM69,29.9117,45.5845,50.3251,47.9276,49.3403,36.8651,33.4525,25.6539,21.9962,38.007,30.5973,42.9507,35.8907,19.3617,21.486,19.9148,43.532,35.6786,56.3286,25.5465,51.4933,51.6931,26.9155,48.2414,32.8676,29.7518,32.4802,52.6702,32.5709,35.4646,34.4769,23.5965,27.1305,39.6062,40.6043,23.7548,25.7076,43.0255,25.2324,37.0459,43.6166,37.5072,36.7288,23.3633,43.5607,29.3046,36.5175,30.1643,42.3898,43.7421,26.2787,67.0616,36.9534,70.445,32.8688,70.5025,49.3588,37.5108,42.215,48.4914,35.3383,28.6483,42.8165,45.8945,46.6705,36.2274,24.1401,31.8096,31.3962,49.0417,38.1251,48.3053,36.8267,35.05,52.2685,61.9844,34.8462,29.3982,48.2872,86.7501,28.7868,49.3939,79.3613,35.9855,40.0426,26.5388,67.237,36.4097,63.8247,20.5073,55.9689,36.4765,85.0697,29.344,44.2442,24.8424,35.1961,31.7668,38.9629,70.3775,21.3984,15.7781,58.7096,42.5071,31.3119,29.4532,93.2007,43.8371
TMEM70,13.9555,12.7706,24.8159,23.5459,18.7241,12.0658,15.8419,10.9019,9.5288,8.7184,11.3955,18.2025,12.0872,8.9724,20.6702,11.3011,10.3595,16.0699,52.1747,15.5549,12.136,9.8889,8.9974,11.9539,12.5589,12.2328,12.5849,7.6937,15.1356,14.5852,13.8475,14.4487,10.929,18.4708,22.0643,26.9364,17.3349,16.6479,13.444,17.2012,9.4316,23.6168,15.5193,12.0984,14.4347,12.3486,22.2392,13.5431,14.4036,10.3929,11.914,16.8659,18.5962,20.9186,15.1888,18.7835,20.1473,12.0651,11.6739,19.2525,13.5274,15.4204,16.7662,14.4435,13.9564,16.558,19.3509,15.1959,15.0583,13.2161,12.4701,13.1067,13.367,13.1564,11.8218,18.9653,12.4368,19.2337,19.8556,26.4276,12.8749,40.3363,14.0729,13.2654,25.2694,16.469,17.0888,12.6049,13.7636,15.3369,13.1993,20.4598,13.0034,15.6687,11.8485,14.3598,30.5611,11.3771,25.5653,21.2166,10.8273,8.3337,21.7658,19.5441,11.6208,9.5794,25.2906,14.2813
TMEM71,1.7273,1.9026,5.5456,4.0994,4.5574,4.5401,2.1193,5.7832,3.0327,6.405,3.2883,4.7699,1.0767,2.9699,4.5769,2.7409,4.1289,3.4846,9.003,4.346,4.8384,6.4311,4.7794,3.1817,2.5125,5.1513,6.44,17.2373,5.5895,3.0087,1.8135,10.6064,2.1968,6.7429,5.0442,3.9071,4.228,2.3182,3.2565,4.8608,0.567,3.4408,6.907,4.2603,1.2799,2.7065,1.3833,5.6771,2.6276,4.9072,5.8156,1.8131,1.303,2.4349,2.512,2.1042,2.3521,1.6921,6.8525,2.4131,2.6436,4.7068,5.011,2.7057,1.5885,0.8938,6.9518,5.746,1.1562,3.9379,1.0478,1.1677,3.3106,1.6142,4.302,3.1875,1.7062,7.0959,20.74,0.4984,4.1543,0.7211,3.0933,3.3722,8.269,4.6087,1.5193,2.8831,2.3013,5.2581,5.5,2.8058,1.3511,7.3304,5.6336,3.1603,2.606,3.869,5.3499,2.9267,4.9302,3.2205,3.2768,4.722,2.8398,3.1763,2.187,12.7366
TMEM72,0.1167,0.1508,0.9612,0.2077,0.4082,0.2423,0.8432,0.3903,0.5121,0.1381,0.1034,0.1854,0.1219,0.2144,0.2619,0.3401,0.3917,0.0823,0.7577,0.2528,0.5294,1.0372,0.6185,0.3771,0.273,0.7686,0.3244,0.3537,0.1254,0.6455,0.2076,0.1438,0.1414,0.5516,0.2208,0.3791,0.218,0.1091,0.1104,0.6512,0.1618,0.9958,0.2342,0.9654,0.1514,0.2613,0.2803,0.6807,0.0885,0.4818,0.338,0.0536,0.1296,0.2049,0.1527,0.3524,0.328,0.4238,0.3422,0.2316,0.5624,0.3098,0.1761,0.4429,0.0848,0.2347,0.2196,0.1999,0.4296,0.6663,0.0732,1.0647,0.3747,0.0421,0.1895,0.4629,0.4667,0.2736,0.097,0.4362,0.7177,0.0947,1.2974,0.5546,0.481,0.4172,0.0903,0.8526,0.6456,0.6276,0.6492,0.1674,0.0939,0.4623,0.4383,0.9237,0.0246,0.3628,0.3785,0.0854,0.3077,0.1958,0.0996,0.6974,0.1635,0.3404,0.2198,0.2237
TMEM74,0.1247,0.124,0.2099,0.3158,0.0959,0.1295,0.1624,0.3799,0.7155,0.227,0.0935,2.7219,0.1586,0.183,0.247,0.0826,0.0537,0.3044,1.0023,0.3311,0.2977,0.6106,0.1155,0.0835,0.1763,0.1579,0.1333,0.0991,0.3222,0.1857,0.1233,0.0591,0.1627,0.425,0.7258,0.7962,0.2986,0.2578,0.2009,0.5085,0.0887,0.6288,0.3587,0.2267,0.2955,0.4295,0.1037,0.0933,0.1272,0.4149,0.0981,0.1836,0.1154,0.1965,0.0896,0.0386,0.1866,0.0825,2.1479,0.6948,0.2642,0.2148,0.3101,0.2108,0.1742,0.1045,0.1231,0.493,0.2158,0.9675,0.2105,0.7001,0.2224,0.1296,0.2986,0.1395,0.3476,0.2671,0.4085,2.7878,0.1341,0.1816,1.5416,0.3766,0.1506,0.4622,0.3119,0.2593,0.0663,0.1548,0.0205,0.3097,0.0868,0.171,0.2815,0.0876,0.4748,0.1392,0.2281,0.1755,0.119,0.1682,0.2251,0.6551,0.3948,0.0883,0.2709,0.1839
TMEM74B,0.7082,1.3319,2.3622,0.8308,0.8851,1.1701,5.4894,0.9353,0.6782,2.0003,1.084,1.2061,0.7847,0.6372,0.6165,1.173,1.5491,1.6272,1.2087,1.2641,0.9994,2.2819,0.543,1.0006,1.5601,1.5905,1.3177,0.4658,1.7307,5.9219,0.8594,1.2468,1.6775,1.9025,0.9899,1.4236,0.4678,6.9234,0.8483,0.9284,1.7489,1.1728,1.2629,1.9026,1.4621,1.2817,2.8229,0.9,1.1899,2.2792,1.3168,1.1342,1.2218,7.5395,0.9028,1.2316,9.7463,1.4464,1.2447,0.5112,1.2563,0.4274,1.3532,3.6662,0.4679,2.2126,1.0466,0.7356,0.461,1.8997,1.649,3.349,0.7467,0.8412,3.2251,1.8735,1.8109,1.4156,0.7693,3.25,1.3202,1.1321,1.9067,1.0646,0.5056,0.976,0.5484,0.8469,0.9798,0.5195,0.5167,2.0792,6.4421,1.8495,1.0961,1.1763,0.5765,1.1013,1.0095,0.2356,1.2237,0.933,0.9274,1.1782,0.423,0.7167,0.8085,1.9402
TMEM79,16.8458,30.0954,17.4894,22.4894,8.6798,24.8058,7.0749,4.5243,31.8432,48.0455,9.8768,18.595,34.765,7.6301,5.6247,5.7672,95.1115,17.8184,6.1196,5.6237,20.5656,29.262,17.8112,23.7177,13.0577,15.612,14.6246,17.1224,12.2999,16.2271,16.5657,4.9778,33.4689,13.9713,13.0147,3.9389,9.6692,9.5717,7.7209,6.5269,23.9768,6.2282,16.0554,3.7167,39.1645,25.5161,29.539,3.6223,52.3056,10.4523,41.5312,13.281,25.4576,34.965,20.4003,24.0489,6.3936,12.5166,49.4606,11.5054,20.3335,8.3326,24.6082,10.5719,14.6214,67.2048,13.6113,6.2328,17.4743,7.5488,10.3512,41.6696,17.3752,8.6263,15.153,15.3628,21.0609,13.2072,14.0671,23.6668,25.1284,7.6169,4.1125,13.5074,11.816,4.4871,10.2659,3.395,24.0542,3.4081,13.1574,9.7385,30.3678,7.066,10.992,16.6237,15.869,7.2488,15.5784,30.0549,5.5701,4.3487,14.9222,7.7002,8.4897,15.6003,7.3663,13.7887
TMEM80,6.5703,8.4054,8.3014,9.1447,7.5129,12.0141,12.6896,6.7393,10.6922,8.7907,6.8295,5.7143,9.0821,5.028,4.6392,6.414,15.2353,8.1556,7.9451,8.1639,12.9171,14.8861,10.844,13.471,6.1913,7.8476,8.2332,14.0891,8.3386,9.4751,7.7759,6.4302,9.6362,9.1662,7.9777,9.3686,5.061,11.7452,5.4906,8.7142,12.4032,7.6037,7.2225,12.002,16.0444,12.0459,11.7768,8.7307,11.7432,7.5612,8.995,4.4304,5.8887,8.1091,10.7663,14.1811,9.1835,8.8042,8.4113,10.4077,10.2698,5.5825,10.9815,6.285,6.1592,16.4206,8.0442,8.1028,13.7475,9.3481,8.568,10.3981,9.3547,8.8812,11.5223,24.5018,7.6899,13.5507,6.4459,11.9906,10.8316,5.7911,5.7879,8.9764,7.548,5.7872,7.5241,6.9854,14.4095,6.001,10.9589,18.561,8.1366,8.4478,7.0581,14.6691,10.2541,5.6705,8.0311,7.4188,7.348,5.6913,10.629,7.5791,6.476,5.1386,6.1081,11.5622
