,Score,Localization,Dataset_Name,Type
ATP2A2,-0.22684212,Secretory,Lung_NAT_PD,Proteome
ATP2B1,-0.08818059,Secretory,Lung_NAT_PD,Proteome
ATP2B4,-0.06319665,Secretory,Lung_NAT_PD,Proteome
ATP2C1,-0.12182587,Secretory,Lung_NAT_PD,Proteome
ATP6AP1,-0.46856397,Secretory,Lung_NAT_PD,Proteome
ATP6AP2,-0.38170195,Secretory,Lung_NAT_PD,Proteome
ATP6V0A1,-0.36201403,Secretory,Lung_NAT_PD,Proteome
ATP6V0A2,-0.44515726,Secretory,Lung_NAT_PD,Proteome
ATP6V0D1,-0.35799775,Secretory,Lung_NAT_PD,Proteome
ATP7A,-0.26837474,Secretory,Lung_NAT_PD,Proteome
ATP8B1,-0.29038936,Secretory,Lung_NAT_PD,Proteome
ATP9A,-0.07064989,Secretory,Lung_NAT_PD,Proteome
ATP9B,-0.38520113,Secretory,Lung_NAT_PD,Proteome
ATPAF1,-0.4941765,Mitochondria,Lung_NAT_PD,Proteome
ATRN,-0.28364095,Secretory,Lung_NAT_PD,Proteome
ATRX,0.3403337,Nucleus,Lung_NAT_PD,Proteome
ATXN1,0.47941655,Nucleus,Lung_NAT_PD,Proteome
ATXN3,0.12987024,Cytosol,Lung_NAT_PD,Proteome
ATXN7L3B,0.06203544,Cytosol,Lung_NAT_PD,Proteome
AUP1,-0.24783933,Secretory,Lung_NAT_PD,Proteome
AURKB,0.36596248,Nucleus,Lung_NAT_PD,Proteome
AVL9,-0.33918265,Cytosol,Lung_NAT_PD,Proteome
B2M,-0.28758845,Secretory,Lung_NAT_PD,Proteome
B3GAT3,-0.19112691,Secretory,Lung_NAT_PD,Proteome
B3GNT2,-0.32191974,Secretory,Lung_NAT_PD,Proteome
B4GALT1,-0.39609,Secretory,Lung_NAT_PD,Proteome
B4GALT4,-0.5377365,Secretory,Lung_NAT_PD,Proteome
BAG3,0.18855527,Cytosol,Lung_NAT_PD,Proteome
BAG6,-0.0561702,Cytosol,Lung_NAT_PD,Proteome
BAK1,-0.49484485,Mitochondria,Lung_NAT_PD,Proteome
BAX,-0.274955,Cytosol,Lung_NAT_PD,Proteome
BAZ1A,0.49910685,Nucleus,Lung_NAT_PD,Proteome
BAZ1B,0.4945119,Nucleus,Lung_NAT_PD,Proteome
BAZ2A,0.3635497,Nucleus,Lung_NAT_PD,Proteome
BAZ2B,0.45012593,Nucleus,Lung_NAT_PD,Proteome
BCAP29,-0.19458565,Secretory,Lung_NAT_PD,Proteome
BCAP31,-0.21091263,Secretory,Lung_NAT_PD,Proteome
BCAR1,0.11474281,Cytosol,Lung_NAT_PD,Proteome
BCAS3,0.052711934,Cytosol,Lung_NAT_PD,Proteome
BCL10,-0.4700983,Cytosol,Lung_NAT_PD,Proteome
BCL2L1,0.23390745,Mitochondria,Lung_NAT_PD,Proteome
BCL2L11,-0.49761444,Secretory,Lung_NAT_PD,Proteome
BCL2L13,0.39824325,Mitochondria,Lung_NAT_PD,Proteome
BCL9L,0.46321553,Nucleus,Lung_NAT_PD,Proteome
BCOR,0.22156222,Nucleus,Lung_NAT_PD,Proteome
BCS1L,-0.4621653,Mitochondria,Lung_NAT_PD,Proteome
BDH1,0.46107683,Mitochondria,Lung_NAT_PD,Proteome
BDH2,0.19944571,Cytosol,Lung_NAT_PD,Proteome
