,Score,Localization,Dataset_Name,Type
ATG5,0.45667887,Cytosol,Krug_Breast_PD,Proteome
ATG7,0.43608087,Cytosol,Krug_Breast_PD,Proteome
ATG9A,0.39921504,Secretory,Krug_Breast_PD,Proteome
ATIC,0.3936388,Cytosol,Krug_Breast_PD,Proteome
ATL2,0.296249,Secretory,Krug_Breast_PD,Proteome
ATL3,0.4387146,Secretory,Krug_Breast_PD,Proteome
ATP11B,0.44086695,Secretory,Krug_Breast_PD,Proteome
ATP11C,0.22649169,Secretory,Krug_Breast_PD,Proteome
ATP13A1,0.46994618,Secretory,Krug_Breast_PD,Proteome
ATP13A3,0.45108578,Secretory,Krug_Breast_PD,Proteome
ATP1A1,0.4675567,Secretory,Krug_Breast_PD,Proteome
ATP1B1,0.45172337,Secretory,Krug_Breast_PD,Proteome
ATP1B3,0.32815048,Secretory,Krug_Breast_PD,Proteome
ATP2A2,0.4665221,Secretory,Krug_Breast_PD,Proteome
ATP2B1,0.4527719,Secretory,Krug_Breast_PD,Proteome
ATP2B4,0.43570933,Secretory,Krug_Breast_PD,Proteome
ATP2C1,0.4551645,Secretory,Krug_Breast_PD,Proteome
ATP6AP1,0.37180847,Secretory,Krug_Breast_PD,Proteome
ATP6AP2,0.26973456,Secretory,Krug_Breast_PD,Proteome
ATP6V0A1,0.4437309,Secretory,Krug_Breast_PD,Proteome
ATP6V0A2,0.45213538,Secretory,Krug_Breast_PD,Proteome
ATP6V0D1,0.19063671,Secretory,Krug_Breast_PD,Proteome
ATP7A,0.43450928,Secretory,Krug_Breast_PD,Proteome
ATP8B1,-0.45707998,Secretory,Krug_Breast_PD,Proteome
ATP9A,0.46354482,Secretory,Krug_Breast_PD,Proteome
ATP9B,0.4547613,Secretory,Krug_Breast_PD,Proteome
ATPAF1,0.29235885,Mitochondria,Krug_Breast_PD,Proteome
ATRN,-0.24710096,Secretory,Krug_Breast_PD,Proteome
ATRX,0.37385264,Nucleus,Krug_Breast_PD,Proteome
ATXN1,-0.49576452,Nucleus,Krug_Breast_PD,Proteome
